"Codigo";"Latitude";"Longitude";"Area";"Nome";"Horario_Brasilia";"Horario_Rondonia";"Horario_Acre";"Nivel_Atual";"Var_Nivel_24";"Var_Nivel_7d";"Var_Nivel_14d";"Var_Nivel_21d";"Acum_Chuva_24";"Acum_Chuva_96";"Rio";"Passado";"C_Max";"Ano_Max";"Mediana";"Minima_Dia";"Maxima_Dia";"Percentil";"SPI";"Atencao";"Alerta";"Inunda";"Status"
34930000;-4,41;-42,181;4910;"Fazenda Alegria";2025-09-12 18:45:00;2025-09-12 17:45:00;2025-09-12 16:45:00;99;0;-4;-8;-11;0;0,2;"LONGÁ";;;"2008";104;60;121;"25%-38%";;;;;
34936000;-4,238;-42,305;2900;"Pedrinhas";2025-09-12 18:45:00;2025-09-12 17:45:00;2025-09-12 16:45:00;245;-1;-7;-12;-20;0;0;"MARATÃ";;;"2020";255,5;209;292;"20%-30%";;;;;
34940000;-3,903;-42,23;11200;"Esperantina";2025-09-12 18:45:00;2025-09-12 17:45:00;2025-09-12 16:45:00;263;0;-6;-13;-18;0;0;"LONGÁ";;;"2008";280;225;315;"30%-40%";;;;;
36320000;-5,9;-38,633;39600;"Jaguaribe";2025-09-12 18:45:00;2025-09-12 17:45:00;2025-09-12 16:45:00;186;0;2;3;5;0;0,2;"JAGUARIBE";;;"1985";206;173;260;"20%-30%";;;;;
39100000;-7,962;-36,202;1560;"Capibaribe";2025-09-12 18:15:00;2025-09-12 17:15:00;2025-09-12 16:15:00;128;-2;-15;1;3;0;0,6;"CAPIBARIBE";;;"2020";107;86;153;"71%-86%";;;;;
39575000;-8,883;-36,219;808;"CANHOTINHO";2025-09-12 18:45:00;2025-09-12 17:45:00;2025-09-12 16:45:00;186;-6;-82;5;;0;2,8;"CANHOTO";;;"2017";151;136;182;"100%-Máxima";;;;;
39689000;-9,124;-36,339;479;"CORRENTES II";;;;;;;;;;;"MUNDAU";;;;;;;;;;;;
39700000;-9,168;-36,218;767;"SANTANA DO MUNDAU";2025-09-12 19:15:00;2025-09-12 18:15:00;2025-09-12 17:15:00;235;-5;-143;-23;-70;0;1,2;"MUNDAU";;;"2022";239;203;321;"40%-50%";;;;;
39715000;-9,002;-36,326;128;"PALMERINA";2025-09-12 19:15:00;2025-09-12 18:15:00;2025-09-12 17:15:00;58;-6;-87;-5;-34;0;2,6;"PALMERINA";;;"2022";62,5;49;95;"33%-44%";;;;;
39720000;-9,004;-36,051;1170;"SÃO JOSE DA LAJE";2025-09-12 19:15:00;2025-09-12 18:15:00;2025-09-12 17:15:00;206;-2;-76;5;-10;0;2;"CANHOTO";;;"2000";182;160;212;"89%-100%";;;;;
39740000;-9,154;-36,036;2900;"UNIAO DOS PALMARES";2025-09-12 19:00:00;2025-09-12 18:00:00;2025-09-12 17:00:00;198;-2;-192;-2;-115;0;6;"MUNDAU";;;"2023";182;116;315;"60%-70%";;;;;
39760000;-9,314;-35,95;3290;"MURICI PONTE";2025-09-12 19:00:00;2025-09-12 18:00:00;2025-09-12 17:00:00;204;-7;-181;2;-122;0,6;1,2;"MUNDAU";;;"2000";128;82;411;"80%-90%";;;;;
